"company_code","company_name","board","listing_date","industry","city","total_market_cap_yi","float_market_cap_yi","pe","is_current_year_new","market_cap_rank","is_top10_market_cap"
"920270.BJ","天铭科技","北证","2022-09-02","通用设备制造业","杭州市",14.981,4.1112,45.8324,FALSE,187,FALSE
"920371.BJ","欧福蛋业","北证","2023-01-18","农副食品加工业","苏州市",14.977,4.1,17.3264,FALSE,188,FALSE
"920770.BJ","艾能聚","北证","2023-02-28","电气机械和器材制造业","嘉兴市",14.9522,8.0268,34.5444,FALSE,189,FALSE
"920177.BJ","恒道科技","北证","2026-04-16","专用设备制造业","绍兴市",14.8798,5.2695,18.5685,TRUE,190,FALSE
"920006.BJ","晟楠科技","北证","2023-05-18","铁路、船舶、航空航天和其他运输设备制造业","泰兴市",14.8703,5.7917,625.5726,FALSE,191,FALSE
"920932.BJ","科达自控","北证","2021-11-15","软件和信息技术服务业","太原市",14.749,9.0353,-16.4915,FALSE,192,FALSE
"920237.BJ","力佳科技","北证","2022-11-25","电气机械和器材制造业","宜昌市",14.692,5.2798,36.8856,FALSE,193,FALSE
"920943.BJ","优机股份","北证","2022-06-24","通用设备制造业","成都市",14.4973,4.6772,29.3983,FALSE,194,FALSE
"920242.BJ","建邦科技","北证","2020-07-27","商务服务业","胶州市",14.3959,6.0357,17.012,FALSE,195,FALSE
"920690.BJ","捷众科技","北证","2024-01-05","汽车制造业","绍兴市",14.3937,4.9822,19.7333,FALSE,196,FALSE
"920008.BJ","成电光信","北证","2024-08-29","计算机、通信和其他电子设备制造业","成都市",14.3438,7.6655,71.6093,FALSE,197,FALSE
"920271.BJ","邦德股份","北证","2022-06-02","汽车制造业","威海市",14.3251,3.6848,16.4098,FALSE,198,FALSE
"920415.BJ","恒拓开源","北证","2020-07-27","软件和信息技术服务业","郑州市",14.3041,7.9731,51.395,FALSE,199,FALSE
"920566.BJ","梓橦宫","北证","2021-08-13","医药制造业","内江市",14.2584,10.0807,15.6311,FALSE,200,FALSE
"920274.BJ","宏裕包材","北证","2023-08-18","橡胶和塑料制品业","宜昌市",14.1845,4.4327,66.8648,FALSE,201,FALSE
"920656.BJ","海昇药业","北证","2024-02-02","医药制造业","衢州市",14.15,3.5375,18.548,FALSE,202,FALSE
"920363.BJ","莱赛激光","北证","2023-12-28","仪器仪表制造业","常州市",14.0765,5.7315,275.858,FALSE,203,FALSE
